Attraction,Description,Country,Continent
Casa del Poeta Tragico,The 1st-century AD Casa del Poeta Tragico features the world's first-known 'beware of the dog' – cave canem – warnings. Visible through a protective glass…,Italy,Europe
Basilica di San Marco,"Now incorporated into Palazzo Venezia, the early-4th-century Basilica di San Marco stands over the house where St Mark the Evangelist is said to have…",Italy,Europe
Terrazza Mascagni,No trip to Livorno is complete without a stroll along this seafront terrace with its dramatic black-and-white chessboard-style pavement. When it was built…,Italy,Europe
Cappella Sistina,"Dating from the 1480s, Savona's Sistine Chapel (like the one in Rome) was created by Pope Sixtus IV. Though far less famous than its Roman counterpoint,…",Italy,Europe
Villa Comunale,"Created by Englishwoman Florence Trevelyan in the late 19th century, these stunningly sited public gardens offer breathtaking views of the coast and Mt…",Italy,Europe
Santuario Santa Vittoria,"Beyond the small village of Serri, the Santuario Santa Vittoria is one of Sardinia's most important nuraghic settlements. It was first studied in 1907 and…",Italy,Europe
Roseto Comunale,"Stretched out on the slopes of the Aventine Hill, this idyllic garden boasts more than 1100 of the rarest roses, coaxed into life each spring by a team of…",Italy,Europe
Museo Archeologico Provinciale Ribezzo,"This superb museum covers several floors with well-documented exhibits (in English), including some 3000 bronze sculptures and fragments in Hellenistic…",Italy,Europe
Dorothy Circus Gallery,"A stark contrast to the ancient and stoic city around it, Dorothy Circus Gallery is devoted entirely to pop surrealism, a punchy art movement that draws…",Italy,Europe
Torre di Sulis,"Dominating Piazza Sulis, this landmark tower was originally known as the Torre de l'Esperó Reial or Torre dello Sperone (Tower of the Royal Spur). Its…",Italy,Europe
Arco di Costantino,"On the western side of the Colosseum, this monumental triple arch was built in AD 315 to celebrate the emperor Constantine's victory over his rival…",Italy,Europe
Villa Sciarra,"In ancient times, this little park on the slopes of the Gianicolo (Gianicolo Hill) was believed to be a sanctuary dedicated to nymphs. It's equally…",Italy,Europe
Basilica Santuario di Santa Lucia al Sepolcro,"This 17th-century basilica occupies the site where Syracuse's patron saint, Lucia, an aristocratic girl who devoted herself to saintliness after being…",Italy,Europe
Basilica Santuario della Madonna di San Luca,"About 3.5km southwest of the city centre, this hilltop basilica occupies a powerful and appropriately celestial position overlooking the teeming red-hued…",Italy,Europe
Castello Doria,"This castle, the oldest surviving fortification in the Cinque Terre, commands superb views. Dating to around 1000, it's now largely a ruin except for the…",Italy,Europe
Laboratorio Oste,The late Annibale Oste was one of Naples' most celebrated sculptors and designers; his workshop is now a small gallery-archive showcasing some of his…,Italy,Europe
Galleria Caterina Tognon,"Hidden behind busy Via XXII Marzo, this gallery is worth seeking out for its interesting shows by internationally renowned artists, who mainly work in…",Italy,Europe
Schola Levantina,"Sometimes called the Turkish Synagogue, the Schola Levantina was founded in 1541 as the first to serve the Ghetto's Sephardic community. Its renovated…",Italy,Europe
Arco di Settimio Severo,"Dedicated to the eponymous emperor and his two sons, Caracalla and Geta, the 23m-high Arco di Settimio Severo was built in the Roman Forum in AD 203 to…",Italy,Europe
Piazza del Popolo,"The heart of Palazzolo Acreide is Piazza del Popolo, a striking square dominated by the ornate bulk of the 18th-century Chiesa di San Sebastiano and the…",Italy,Europe
Chiesa dei Scalzi,"An unexpected outburst of baroque extravagance, this Longhena-designed church (built 1654–80) has a facade by Giuseppe Sardi that ripples with columns and…",Italy,Europe
Museo Archeologico Baglio Anselmi,Marsala's finest treasure is the partially reconstructed remains of a Carthaginian liburna (warship) sunk off the Egadi Islands during the First Punic War…,Italy,Europe
Piazza dei Signori,Verona's beautiful open-air salon is ringed by a series of elegant Renaissance palazzi. Chief among these are the Palazzo degli Scaligeri (aka Palazzo…,Italy,Europe
Padiglione d'Arte Contemporanea,"Art and design intertwine at the city’s ground-breaking contemporary galleries. Leading the pack is PAC, which mounts experimental exhibitions in…",Italy,Europe
Museo Nazionale Pepoli,"Tucked away in the atmospheric cloister of a 14th-century Carmelite monastery, this wonderful decorative-arts museum dating from 1906–08 houses the…",Italy,Europe
Chiesa di San Giorgio dei Greci,"Greek Orthodox refugees who fled to Venice from Turkey with the rise of the Ottoman Empire built this church in the 16th century, using taxes collected on…",Italy,Europe
Chiesa di San Pantalon,"It's not the prettiest from the outside, but the bald brick facade of this 17th-century church (rent by a concerning crack), doesn't give any indication…",Italy,Europe
Keats-Shelley House,"This house next to the Spanish Steps is where English poet John Keats died of tuberculosis aged only 25. Its bookshelf-lined rooms, practically unchanged…",Italy,Europe
Museo Civico Archeologico,"Impressive in its breadth of coverage of historical eras, this museum displays well-documented Egyptian and Roman artefacts along with one of Italy's best…",Italy,Europe
Lago d'Averno,"In Virgil's Aeneid, it is from Lago d'Averno that Aeneas descends into the underworld. It's hard to imagine hell in such a bucolic setting, where old…",Italy,Europe
Piazza Dante,"On hot summer evenings, Piazza Dante turns into a communal living room, packed with entire families who stroll, eat, smoke, play cards, chase balloons and…",Italy,Europe
Cimitero di San Michele,"Until Napoleon established a city cemetery on this little island, Venetians had been buried in parish plots across town – not an ideal solution in a…",Italy,Europe
Piazza del Plebiscito,"For Continental grandeur, it's hard to beat Piazza del Plebiscito. Whichever way you look, the view is show-stopping. To the northwest, vine-covered…",Italy,Europe
Quattro Canti,"Officially titled Piazza Vigliena, the elegant intersection of Corso Vittorio Emanuele and Via Maqueda is better known as the Quattro Canti. Marking the…",Italy,Europe
Casa Galimberti,"Casa Galimberti, with its ceramic tiles depicting bourgeois beauties, is one of the finest pieces of fin-de-siècle Liberty architecture in Italy.",Italy,Europe
Museo Ebraico,"This museum explores the history of Venice’s Jewish community and showcases its pivotal contributions to Venetian, Italian and world history. Opened in…",Italy,Europe
Basilica di Santa Prassede,"Famous for its brilliant Byzantine mosaics, which have been preserved in their original state, this small 9th-century church is dedicated to St Praxedes,…",Italy,Europe
Abbazia di San Pietro Apostolo,"Reconstructed between 1475 and1518, the San Pietro Apostolo monastery is one of the city's most important Renaissance relics and notable for several…",Italy,Europe
Scuola Grande di San Marco,"Instead of simple father-son handyman projects, sculptor Pietro Lombardo and his sons had more ambitious goals: a high-Renaissance marble facade for the…",Italy,Europe
Statue of Marcus Aurelius,"In the centre of Piazza del Campidoglio, this equestrian bronze statue is a copy of a 2nd-century sculpture in the Capitoline Museums.",Italy,Europe
Cinema Dumont,"The former Cinema Dumont, with its concrete garlands of flowers, is a fine example of fin-de-siècle Liberty architecture.",Italy,Europe
Galleria d'Arte Moderna,"This lovely, wheelchair-accessible museum is housed in a 15th-century palazzo, which metamorphosed into a convent in the 17th century. Divided over three…",Italy,Europe
Chiesa di San Domenico,The current Chiesa di San Domenico was built in 1640 following the design of architect Andrea Cirrincione; the facade was added in 1726 after the…,Italy,Europe
Monte Ortobene,"About 7km east of Nuoro is the granite peak of Monte Ortobene (955m), covered in thick woods of ilex, pine, fir and poplar, and capped by a 7m-high bronze…",Italy,Europe
Chiesa di Sant’Efisio,"Despite its unassuming facade, the Chiesa di Sant’Efisio is of considerable local importance – not for any artistic or architectural reasons but rather…",Italy,Europe
Palazzo del Quirinale,"Perched atop the Quirinale Hill, one of Rome's seven hills, this former papal summer residence has been home to the Italian head of state since 1948…",Italy,Europe
Museo del Tesoro di San Gennaro,"If you're intrigued by Naples' cultish love affair with San Gennaro, eye up his glittering treasury at the Museo del Tesoro di San Gennaro, adjacent to…",Italy,Europe
Casa Guazzoni,"One of Milan's fin-de-siècle Liberty treasures, with intricate wrought-iron balconies.",Italy,Europe
Castello di Vezio,"High above the terracotta rooftops of Varenna, the imposing Castello di Vezio offers magnificent views over Lake Como. The 13th-century building was once…",Italy,Europe
Chiesa di Santa Maria del Giglio,"Founded in the 9th century but almost completely rebuilt in the late 17th century, this church is distinguished by a series of six relief maps on its…",Italy,Europe
Basilica di Sant'Andrea,"Easily usurping Mantua's cathedral, this towering basilica safeguards the golden vessels said to hold earth soaked by the blood of Christ. Longinus, the…",Italy,Europe
Porta Nuova,This old town gate marks the western edge of Marsala's historic centre.,Italy,Europe
Duomo di San Pietro,"In Modica, the Duomo di San Pietro plays second fiddle only to the Cattedrale di San Giorgio. The original 14th-century church was damaged in the…",Italy,Europe
Piazza del Gesù Nuovo,"Flanked by the spiky Chiesa del Gesù Nuovo and the Basilica di Santa Chiara, this lively square is one of Naples' most beautiful. For hundreds of years it…",Italy,Europe
Museo Archeologico dei Campi Flegrei,"This usually crowd-free museum occupies the commanding Castello di Baia, built in the late 15th century by the Aragonese as a defence against possible…",Italy,Europe
Abbazia di San Pietro al Monte,Birdsong and the rush of a mountain stream accompany you as you make the pilgrimage to the Romanesque Abbazia di San Pietro al Monte (St Peter on the…,Italy,Europe
Real Duomo,Erice's Royal Cathedral – a golden mirage of sculpted buttermilk stone and Carrara marble – was built in 1314 by order of a grateful Frederick III who…,Italy,Europe
Museo Diocesano di Palermo,"Palermo's Diocesan Museum is home to an important collection of artworks. The basement hosts a medley of sculptures from the 15th to 18th centuries,…",Italy,Europe
La Piccola Gerusalemme,Head down Via Zuccarelli and turn left at a sign indicating 'La Piccola Gerusalemme' to visit this fascinating time capsule of Pitigliano's historic but…,Italy,Europe
Area Archeologica di Akrai,"Accessed via a 20-minute uphill walk from Piazza del Popolo (or an easy drive up Via Teatro Greco), the archaeological park of Akrai is one of the area's…",Italy,Europe
Casa Natale di Pirandello,"Fans of Luigi Pirandello (1867–1936) will appreciate this small museum 5km southwest of Agrigento, set in the family villa where the author was born. One…",Italy,Europe
Museo Ducati,"With all the Ferraris and Lamborghinis around, it's easy to overlook Motor Valley's two-wheeled contribution to world-class motorsports. Ducati sits right…",Italy,Europe
Museo di Casa Vasari,"Built and sumptuously decorated by Arezzo-born painter, architect and art historian Giorgio Vasari (1511–74), this museum is where Vasari lived and worked…",Italy,Europe
Palazzo Mirto,"Just off Piazza Marina, this palazzo is one of the few in Palermo open to the public. Dating back to the 17th century, the building served as the Palermo…",Italy,Europe
Certosa di San Giacomo,"Founded in 1363, this substantial monastery is generally considered to be the finest remaining example of Caprese architecture and today houses a school,…",Italy,Europe
Via Etnea,It's not difficult to see how Catania's main shopping street got its name – on a clear day you can see Mt Etna rising majestically at the end of it. Via…,Italy,Europe
Cinema Fulgor,"Legendary Italian film director Federico Fellini's restored hometown theatre, where he watched films as a child and developed his passion for cinema, was…",Italy,Europe
Chiesa di Sant'Anna dei Lombardi,This magnificent church is testament to the close links that once existed between the Neapolitan Aragonese and the Florentine Medici dynasty. One…,Italy,Europe
Cattedrale di Sant'Agata,"Inside the vaulted interior of this cathedral, beyond its impressive marble facade sporting two orders of columns taken from the Roman amphitheatre, lie…",Italy,Europe
Messner Mountain Museum Kronplatz,Mountaineer Reinhold Messner's sixth and final mountain museum also sadly happened to be one of the final projects of star architect Zaha Hadid before her…,Italy,Europe
Valstrona,"This picturesque region northwest of Lake Orta makes for a splendid day's drive. West out of Omegna, 14km of winding valley road follows a deep river…",Italy,Europe
Duomo,"The Duomo is the most impressive of the historic buildings that line Via Roma, Enna's showpiece street. Built over 200 years after the original Gothic…",Italy,Europe
Cattedrale di San Lorenzo,Genoa's zebra-striped Gothic–Romanesque cathedral owes its continued existence to the poor quality of a British WWII bomb that failed to ignite here in…,Italy,Europe
Parco Naturale Adamello Brenta,"This wild and beautiful park encompasses more than 80 lakes and the vast Adamello glacier, which was once home to the Alps' only brown bears. Although…",Italy,Europe
Piazza Garibaldi,"The large town square is home to Sulmona's extensive Wednesday and Saturday morning market: you'll find fresh fish, veg, fruit and flowers, as well as the…",Italy,Europe
Chiesa di Santa Maria la Nova,"Sporting a relatively restrained neoclassical facade, this church took shape in the 18th and 19th centuries. Among its numerous notable artworks is 18th…",Italy,Europe
Palazzo Fabroni,"Take a breather from the ancient with this airy modern- and contemporary-art museum, host to riveting temporary exhibitions and a permanent collection…",Italy,Europe
Pinacoteca Nazionale,"The city's main art gallery has a powerful collection of works by Bolognese artists from the 14th century onwards, including a number of important…",Italy,Europe
Cattedrale di Santa Chiara,"Dominating the eastern flank of Piazza del Municipio, the Cattedrale di Santa Chiara has a lovely Pisan-flavoured gold-hued facade and a checkerboard…",Italy,Europe
Domus Augustana,"On the Palatino, the Domus was the emperor's private residence in the imperial palace. It was built on two levels, with rooms leading off a peristilio …",Italy,Europe
Monte Limbara,"Some 17km southeast of Tempio, the jagged summit of Monte Limbara (1359m) dominates the gritty landscape. The easiest way to reach it is to drive. From…",Italy,Europe
Convento dei Cappuccini,This church and convent complex safeguards what is possibly Rome's strangest sight: crypt chapels where everything from the picture frames to the light…,Italy,Europe
Gelato Museum Carpigiani,"Opened in 2012, this family-friendly museum – run by Carpigiani, Italy's most famous gelato-machine manufacturer – traces the history of frozen desserts…",Italy,Europe
Chiesa di Santa Teresa,"The 18th-century Chiesa di Santa Teresa has numerous points of interest, among them a striking geometric floor made of white Cosimo limestone and black…",Italy,Europe
Reggia di Portici,"Before moving into the colossal Reggia di Caserta, Charles III of Bourbon called this more modest palace home. Built between 1738 and 1742, the frescoed…",Italy,Europe
Cathedral,You can spot the dramatically sited dome of the huge cathedral from a few kilometres away. It rises majestically from the hilltop and the terraced houses…,Italy,Europe
Abbazia di Montecassino,"Dramatically perched on a mountaintop near the regional border with Campania, the Abbazia di Montecassino was one of the most important Christian centres…",Italy,Europe
Pinacoteca Nazionale,"Cagliari's principal gallery showcases a prized collection of 15th- to 17th-century art. Many of the best works are retablos (grand altarpieces), painted…",Italy,Europe
Sacro Monte di San Francesco,"Beyond the lush gardens and residences that mark the hill rising behind Orta is a kind of parallel ‘town’ – the sacro monte, where 20 small chapels…",Italy,Europe
Cattedrale di San Lorenzo,"With its black-and-white bell tower, Viterbo's 12th-century cathedral looms over Piazza San Lorenzo, the religious nerve centre of the medieval city…",Italy,Europe
Piazza del Popolo,This massive piazza was laid out in 1538 to provide a grandiose entrance to what was then Rome's main northern gateway. It has since been remodelled…,Italy,Europe
Chiesa di San Francesco d’Assisi a Ripa Grande,"St Francis is said to have stayed here in 1219, and in his cell you can still see the rock that he purportedly used as a pillow and his crucifix. Rebuilt…",Italy,Europe
Chiesa di San Giovanni a Mare,"The Chiesa di San Giovanni a Mare is a rare example of Romanesque architecture in Naples. Erected by Benedictine monks in the 12th century, the nave forms…",Italy,Europe
Chiesa di Santa Maria della Pace & Chiostro del Bramante,"Tucked away in the back streets behind Piazza Navona, this small baroque church boasts a columned semicircular facade by Pietro da Cortona and a…",Italy,Europe
Nuraghe di Palmavera,"A few kilometres west of Fertilia on the SS127bis road to Porto Conte, the Nuraghe di Palmavera is a 3500-year-old nuraghic village. At its centre stands…",Italy,Europe
Chiesa di San Pietro a Maiella,"Dedicated to hermit Pietro del Morrone, who was promoted to Pope Celestine V in 1294, this Gothic veteran is most famous for its series of baroque ceiling…",Italy,Europe
Museo Villa Puccini,"In 1880 Puccini left Lucca to study at Milan's music conservatory, returning to Tuscany after his studies to rent a lakeside house in Torre del Lago, 15km…",Italy,Europe
Santuario di San Michele,Over the centuries this sanctuary has expanded to incorporate a large complex of religious buildings that overlay its original shrine. The double-arched…,Italy,Europe
Carcere Mamertino,"Hidden beneath the 16th-century Chiesa di San Giuseppe dei Falegnami, the Mamertine Prison was ancient Rome's maximum-security jail. St Peter did time…",Italy,Europe
Chiesa di Sant'Eligio Maggiore,"Dating from 1270, this simple Gothic beauty was the first church built by the Angevins. The church was once adorned with frescoes, of which a few…",Italy,Europe
Basilica & Catacombe di San Giovanni,"The city's most extensive catacombs lie beneath the Basilica di San Giovanni, itself a pretty, truncated church that served as the city's cathedral in the…",Italy,Europe
Castello di Milazzo,"Originally the site of a Greek acropolis, then an Arab-Norman citadel, Milazzo's enormous castle was built by Frederick II in 1239, expanded by Charles V…",Italy,Europe
Acquario,"Genoa's much-vaunted aquarium is one of the largest in Europe, with more than 600 species of sea creatures, including sharks. Moored at the end of a…",Italy,Europe
Tenute Olbios,"Spread across 60 hectares, Tenute Olbios estate whisks visitors through the winemaking process in 1½-hour guided tours (€10), which head down to the…",Italy,Europe
Messner Mountain Museum Firmiano,"The imposing Castel Firmiano, dating back to AD 945, is the centrepiece of mountaineer Reinhold Messner's six museums. Based around humankind's…",Italy,Europe
Chiesa Nuova,"Hardly new as its name would suggest, this imposing landmark church boasts a distinguished 17th-century facade and a vast baroque interior. Of particular…",Italy,Europe
Basilica di San Saturnino,"One of the oldest churches in Sardinia, the Basilica di San Saturnino is a striking example of Paleo-Christian architecture. Based on a Greek-cross…",Italy,Europe
Chiesa Madre San Guglielmo,It's in this church that a warrior-like Madonna delle Milizie (Madonna of the Militias) crushes two hapless Saracens on her white horse. Made of wood and…,Italy,Europe
Palmaria,The largest island of the Italian Riviera is largely undeveloped (it's home to around 50 residents) and lies just a short ferry ride from Porto Venere…,Italy,Europe
Palazzo Spadaro,The convex balcony railings of this 18th-century aristocratic pad were cleverly designed to accommodate the era's hooped gowns. One can imagine the gentry…,Italy,Europe
Casa Museo,The good news is that this museum is well signposted and has a car park. The bad news is that it's on a perilous corner on Ischia's mountain road between…,Italy,Europe
Piazza Garibaldi,Piazza Garibaldi is roughly cobblestoned and it's plain from its time-warped nature that nothing much has changed here down the centuries. Many of the…,Italy,Europe
Tenuta Vannulo,"The first organic producer of bufala (water-buffalo) milk, Tenuta Vannulo is a 10-minute drive from Paestum. It makes its mozzarella exclusively from…",Italy,Europe
Parco Nazionale delle Dolomiti Bellunesi,"Just over 17km northwest of Belluno, this magnificent national park offers trails for hikers of every level, wildflowers in spring and summer, and…",Italy,Europe
Isola Tiberina,"One of the world’s smallest inhabited islands, the boat-shaped Isola Tiberina has been associated with healing since the 3rd century BC when the Romans…",Italy,Europe
Casa Chianti Classico,"Occupying an 18th-century convent complex attached to a 10th-century church, this facility is operated by the Consorzio di Chianti Classico and pays…",Italy,Europe
Area Archaeologica di Cave di Cusa,Most of the buttery yellow stone used to construct the great temples of Selinunte was hewn at these ancient Greek quarries. The setting is charming –…,Italy,Europe
Museo Internazionale delle Marionette,"This whimsical museum houses around 4000 marionettes, puppets, glove puppets and shadow figures from Sicily and Naples, as well as from further-flung…",Italy,Europe
Museo Ebraico di Roma,"The historical, cultural and artistic heritage of Rome’s Jewish community is chronicled in this small but engrossing museum. Housed in a building attached…",Italy,Europe
Palazzo Municipio,"To fans of the popular TV series Commissario Montelbano (Inspector Montalbano), Scicli's Town Hall – completed in 1906 – is better known as police…",Italy,Europe
Rione Terra,"Rione Terra is Pozzuoli's oldest quarter and its ancient acropolis. The original 2nd-century-BC temple to Jupiter, Juno and Minerva was replaced by a…",Italy,Europe
Cattedrale di Santa Maria Assunta,"Lording it over Oristano’s skyline, the Duomo's onion-domed bell tower is one of the few remaining elements of the original 14th-century cathedral, itself…",Italy,Europe
Palazzo Branciforte,"One of Palermo's grandest aristocratic palaces is now an impressive, multi-faceted cultural centre. One-hour guided tours (email ahead for English…",Italy,Europe
City Walls,"One of several towns in Italy with an intact ring of defences, Bergamo’s impressive walls were built by the Venetians over 30 years starting in 1561…",Italy,Europe
Biblioteca Nazionale di Napoli,"Naples' Palazzo Reale is home to the Biblioteca Nazionale, its priceless treasures including at least 2000 papyri discovered at Herculaneum and fragments…",Italy,Europe
Cinabro Carrettieri,Biagio Castilletti and Damiano Rotella are two of only a handful of master artisans still making carretti siciliani (traditional Sicilian carts) the…,Italy,Europe
MURo,This isn't so much a museum as a collection of murals dotted around the Quadraro neighbourhood in the city’s southern suburbs. Works by nearly two dozen…,Italy,Europe
Teatro Anatomico,"Housed in Palazzo dell’Archiginnasio, the fascinating 17th-century Teatro Anatomico is where public body dissections were held under the sinister gaze of…",Italy,Europe
Palazzo della Cancelleria,"One of Rome's most imposing Renaissance buildings, this huge palazzo was built for Cardinal Raffaele Riario between 1483 and 1513. It was later acquired…",Italy,Europe
Abbazia di San Michele Arcangelo,Soak up the dizzying bay views at the belvedere before exploring the adjoining Abbazia di San Michele Arcangelo. Built in the 11th century and remodelled…,Italy,Europe
Palazzo dei Pio,"Flanking the east side of Piazza dei Martiri, this muscular palace houses three museums. The Museo della Città has archaeological exhibits and an…",Italy,Europe
Chiesa di Santa Maria del Rosario,"Venetians have long memories, which is why this church is still called I Gesuati by locals despite the namesake religious order having been replaced by…",Italy,Europe
Museo Civico Ala Ponzone,"Set in the spacious halls of the Palazzo Affaitati, Cremona's finest art gallery houses an exquisite collection of paintings dating from the 15th to the…",Italy,Europe
Museo del Tessile e dell’Abbigliamento Elena Aldobrandini,"Despite the lack of information in English, this petite textile and fashion museum is a good bet for those after a lesser-known treat. Swoon over a…",Italy,Europe
Abbazia di Monte Oliveto Maggiore,"Concealed amid dense forest on the edge of the Castelnuovo Berardenga region, this 14th-century abbey was founded by Giovanni (John) Tolomei – later Saint…",Italy,Europe
Fonte dell'Abbondanza,A rather risqué surprise lurks in the street-level loggia (balcony) of a 13th-century former wheat store close to Piazza Garibaldi. The loggia shelters…,Italy,Europe
Lello Esposito,"Dividing his time between Naples and New York, the infectiously charming Lello Esposito (who speaks very little English) is intrigued by Neapolitan…",Italy,Europe
Castello dei Ventimiglia,"Originally known as the Castello del Buon Aere (Castle of Good Air), the enormous castle that soars above Castelbuono's golden patchwork of houses gave…",Italy,Europe
San Nicola,"Medieval buildings thrust out of San Nicola's rocky shores, the same pale-sand colour as the barren cliffs. In 1010, Benedictine monks founded the Abbazia…",Italy,Europe
Centro Visito Batterie Silvio Sommazzi,This free visitor centre provides insight into the military installations scattered in the surrounding hillside. The 202nd Batteria Chiappa guarded the…,Italy,Europe
Museo Civico Giovanni Fattori,"The highlight of a visit here is the 19th-century building. Known as Villa Mimbelli, it has an ornately decorated interior featuring an extraordinary…",Italy,Europe
Piazza del Duomo,"Piazza del Duomo is home to Messina's cathedral and its curious campanile (bell tower). Soaring 60m into the sky, the tower incorporates an astronomical…",Italy,Europe
Piazza San Benedetto,"Centred on a statue of St Benedict, Norcia's most famous son, this small piazza is flanked by the town's most impressive medieval buildings, many of which…",Italy,Europe
Piscina Mirabilis,"You'll need to book (by phone) at least two hours ahead to visit the world's largest Roman cistern, but it's well worth the effort to stand in this…",Italy,Europe
Palazzo Chigi,"Lording it over the small town of Ariccia, this 17th-century palazzo was designed by Gian Lorenzo Bernini for the Chigi family. Its interior, used by…",Italy,Europe
Villa Malfitano,"A showcase of Liberty architecture, set in a 9-hectare (22-acre) formal garden planted with rare and exotic species, this villa is most notable for its…",Italy,Europe
Abbazia di Piona,The Cistercian Abbazia di Piona has a magnificent setting on a promontory stretching out into Lago di Como. There's evidence that a small chapel was built…,Italy,Europe
Duomo di Messina,"Messina's one great sight is the Norman Duomo (or at least a faithful replica of it). One of Sicily's finest cathedrals, its treasures include an…",Italy,Europe
Palazzo della Ragione,"Ancient Padua can be glimpsed in elegant twin squares (one the fruit market, the other the vegetable market) separated by the triple-decker Gothic Palazzo…",Italy,Europe
Palazzo Ducezio,"Inspired by French palace architecture of the 17th century, graceful, porticoed Palazzo Ducezio is one of architect Vincenzo Sinatra's finest works. The…",Italy,Europe
Polo Museale Santa Chiara,There are three museums in this complex. The ground floor is home to a part-reconstructed 15th- to 18th-century pharmacy known as the Speziera di Santa…,Italy,Europe
Palazzo Pubblico,"Built to demonstrate the enormous wealth, proud independence and secular nature of Siena, this 14th-century Gothic masterpiece is the visual focal point…",Italy,Europe
Museo del Tesoro e Area Archeologica di Sant'Eulalia,"In the heart of the Marina district, this museum contains a rich collection of religious art, as well as an archaeological area beneath the adjacent…",Italy,Europe
Casa del Cioccolato Perugina,"To visit the Wonka-esque world of Perugian chocolate, sign up for a 1¼-hour guided tour (in Italian or English, times vary) of the House of Chocolate…",Italy,Europe
Galata Museo del Mare,"Genoa was rivalled only by Barcelona and Venice as a medieval and Renaissance maritime power, so its 'museum of the sea' is, not surprisingly, one of its…",Italy,Europe
Museo Civico Archeologico 'Isidoro Falchi',"Piazza Vatluna off Vetulonia's main street boasts spectacular views over the surrounding countryside and is also home to this small museum, which brings…",Italy,Europe
Chiesa di Santa Teresa a Chiaia,"Designed by baroque architect and sculptor Cosimo Fanzago, this melon-hued show off was built between 1650 and 1662. After suffering damage in an…",Italy,Europe
Abbazia di San Galgano,"This now-ruined 13th-century Cistercian abbey was one of the finest Gothic buildings of its day. On a hill above is the tiny, round Romanesque Cappella di…",Italy,Europe
Museo delle Arti Sanitarie,"This small museum, located at a 16th-century hospital and monastic complex, explores the city's history from a medical perspective. Despite the lack of…",Italy,Europe
Musei Civici agli Eremitani,"The ground floor of this monastery houses artefacts dating from Padua’s Roman and pre-Roman past, including some delicate glass, serviceable Roman…",Italy,Europe
Museo Archeologico Nazionale delle Sibaritide,"Founded around 730 BC and destroyed by the Krotons in 510 BC, Sybaris was rebuilt twice: once as Thurii by the Greeks in 444 BC, and again in 194 BC by…",Italy,Europe
Mausoleo di Cecilia Metella,"Dating to the 1st century BC, this great drum of a mausoleum encloses a burial chamber, now roofless. In the 14th century it was converted into a fort by…",Italy,Europe
Castello,"Rebuilt in the mid-16th century after an earthquake in 1511, Udine's castle affords rare views of the city and snowy peaks beyond. It houses a number of…",Italy,Europe
Giardini di Augusto,"As their name suggests, these gardens near the Certosa di San Giacomo were founded by Emperor Augustus. Rising in a series of flowered terraces, they lead…",Italy,Europe
Sorico,"Lago di Como's northernmost towns of Dongo, Gravedona and Sorico once formed the independent republic of the Tre Pievi (Three Parishes) and were a hotbed…",Italy,Europe
Chiesa di Sant'Andrea Apostolo,"This 12th-century church was built outside the original city walls, hence its windowless (fortified) state. The partly white-and-green striped marble…",Italy,Europe
Museo Archeologico di Aidone,"This small archaeological museum in Aidone, a 10km drive northeast of Piazza Armerina, is worth a stop on your way to the nearby Greek ruins at Morgantina…",Italy,Europe
Casa Museo Luciano Pavarotti,Legendary tenor Luciano Pavarotti's final home is prettily perched in the Modenese countryside 8.5km southeast of the city. The building was turned into a…,Italy,Europe
Palazzo San Giorgio,"One of the most famous monuments on Genoa's waterfront is this mural-covered building constructed in 1260. St George is one of Genoa's patron saints, and…",Italy,Europe
Basilica dei Santi Apostoli,"This much-altered 6th-century church is dedicated to the apostles James and Philip, whose relics are in the crypt. Its most obvious attraction is the…",Italy,Europe
Trentova-Tresino,"Those frustrated by the dearth of well-marked hiking trails in the Parco Nazionale del Cilento, Vallo di Diano e Alburni should pay a visit to this mini…",Italy,Europe
Museo Archeologico Provinciale,"The province’s restored and revitalised main archaeological museum is an excellent showcase for the excavated history of the surrounding area, dating back…",Italy,Europe
Castello di San Giorgio,An assortment of local archaeological artefacts from prehistoric to medieval times are displayed at the city's hilltop fortifications. You'll see finely…,Italy,Europe
Chiesa di Sant'Agostino,This late-13th-century church is best known for Benozzo Gozzoli's charming fresco cycle (1464–65) illustrating the life of St Augustine. You'll find it in…,Italy,Europe
Fontana delle Tartarughe,"This playful, much-loved fountain features four boys gently hoisting tortoises up into a bowl of water. Created by Giacomo della Porta and Taddeo Landini…",Italy,Europe
Piazza Maggiore,"All roads lead to pivotal 13th-century Piazza Maggiore, flanked by Basilica di San Petronio, Europe's sixth-largest basilica, and a series of impressive…",Italy,Europe
Chiesa del Gesù,"Also known as Casa Professa, this is one of Palermo's most breathtaking churches. The Jesuits first built a church on this site between 1564 and 1578…",Italy,Europe
Cathedral,"Forming the eastern flank of Piazza Duomo, Ravello's cathedral was built in 1086. Since that time it has undergone various makeovers. The facade is 16th…",Italy,Europe
Museo del Motorismo Siciliano e della Targa Florio,"This unique museum is a labour of love for owner-founder Nuccio Salemi, whose amazing collection of original sports cars from the famed Targa Florio race…",Italy,Europe
Lingua,"Three kilometres south of Santa Marina Salina, the tiny village of Lingua is a popular summer hang-out, with a couple of hotels, a few trattorias and a…",Italy,Europe
Grotte di Su Mannau,"A few kilometres south of Fluminimaggiore off the SS126, this is the largest cave system of its sort so far discovered in the Iglesiente. The standard…",Italy,Europe
Palazzo d'Avalos,"The Renaissance Palazzo d’Avalos houses a quartet of museums: the Museo Archeologico, with its eclectic collection of ancient bronzes, glasswork and…",Italy,Europe
